uf,categoria,qtd_pedidos,qtd_itens,receita_total,ticket_medio
PR,Eletronicos,253,1380,3522817.24,13924.18
PE,Eletronicos,220,1184,2842743.92,12921.56
SC,Eletronicos,188,1075,2781953.97,14797.63
CE,Eletronicos,165,888,2261781.96,13707.77
SP,Eletronicos,148,791,2011933.5,13594.15
RS,Eletronicos,154,827,1985333.38,12891.78
BA,Eletronicos,139,786,1909069.18,13734.31
RJ,Eletronicos,148,811,1828254.55,12353.07
GO,Eletronicos,123,645,1689220.49,13733.5
MG,Eletronicos,120,627,1568748.09,13072.9
